source_id,translation_id_1,translation_id_2,translation_1,translation_2,human_score_1,human_score_2,model_preference_score,model_agrees
"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.",42,41," Som NSA, hjalp han Carter med diplomatisk at styre verdenssager, såsom Camp David-aftalerne i 1978; at normalisere relationerne mellem USA og Kina i slutningen af 70erne; den iranske revolution, som led til den iranske gidselsituation i 1979; og den sovjetiske invasion i Afghanistan i 1979."," Som NSA assisterede Carter i diplomatisk håndtering af verdens anliggender, såsom Camp David-aftalerne i 1978, normaliseringen af forholdet mellem USA og Kina i slutningen af 1970erne; den iranske revolution, der førte til gidselkrisen i Iran i 1979; og den sovjetiske invasion i Afghanistan i 1979.",3,4,1.0,True
"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.",45,41," Som NSA, han bistod Carter med håndtering diplomatiske anliggender i verden, såsom Camp David-aftalerne, 1978; at normalisere USA-Kina relationer i slutningen af 1970'erne; den iranske revolution, der førte til Irans gidseldrama, 1979; og den sovjetiske invasion i Afghanistan, 1979."," Som NSA assisterede Carter i diplomatisk håndtering af verdens anliggender, såsom Camp David-aftalerne i 1978, normaliseringen af forholdet mellem USA og Kina i slutningen af 1970erne; den iranske revolution, der førte til gidselkrisen i Iran i 1979; og den sovjetiske invasion i Afghanistan i 1979.",2,4,1.0,True
"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.",46,41," Som NSA, hjalp han Carter med at manipulere diplomatiske forhold i verden, som for eksempel Camp David-aftalen i 1978; med hensyn til at normalisere americanaftale med Kina i slutningen af 1970'erne; den iranske revolution i 1979, som resulterede i Den iranske gidselikrise og en sovjetisk invasion i Afghanistan i 1979."," Som NSA assisterede Carter i diplomatisk håndtering af verdens anliggender, såsom Camp David-aftalerne i 1978, normaliseringen af forholdet mellem USA og Kina i slutningen af 1970erne; den iranske revolution, der førte til gidselkrisen i Iran i 1979; og den sovjetiske invasion i Afghanistan i 1979.",2,4,1.0,True
"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.",42,43," Som NSA, hjalp han Carter med diplomatisk at styre verdenssager, såsom Camp David-aftalerne i 1978; at normalisere relationerne mellem USA og Kina i slutningen af 70erne; den iranske revolution, som led til den iranske gidselsituation i 1979; og den sovjetiske invasion i Afghanistan i 1979."," Som NSA, hjalp han Carter i diplomatisk håndteringen af verdens anliggender, såsom forhandlinger i Camp David, 1978; normaliseringen af de amerikanske og kinesiske relationer omkring slutningen af 1970erne; den iranske revolution, som førte til Iransk gidseldrama i 1979; og den sovjetiske invasion i Afghanistan, 1979.",3,4,0.0,False
"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.",42,44," Som NSA, hjalp han Carter med diplomatisk at styre verdenssager, såsom Camp David-aftalerne i 1978; at normalisere relationerne mellem USA og Kina i slutningen af 70erne; den iranske revolution, som led til den iranske gidselsituation i 1979; og den sovjetiske invasion i Afghanistan i 1979."," Som NSA samarbejdede han med Carter om at håndtere verdensanliggender diplomatisk, som f.eks. Camp David-aftalen, 1978; om at normalisere USA–Kina forhold i slutningen af 1970'erne; den iranske revolution, som førte til Iran-gisler-situationen i 1979; og den sovjetiske invasion i 1979.",3,4,0.5,False
"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.",45,42," Som NSA, han bistod Carter med håndtering diplomatiske anliggender i verden, såsom Camp David-aftalerne, 1978; at normalisere USA-Kina relationer i slutningen af 1970'erne; den iranske revolution, der førte til Irans gidseldrama, 1979; og den sovjetiske invasion i Afghanistan, 1979."," Som NSA, hjalp han Carter med diplomatisk at styre verdenssager, såsom Camp David-aftalerne i 1978; at normalisere relationerne mellem USA og Kina i slutningen af 70erne; den iranske revolution, som led til den iranske gidselsituation i 1979; og den sovjetiske invasion i Afghanistan i 1979.",2,3,1.0,True
"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.",46,42," Som NSA, hjalp han Carter med at manipulere diplomatiske forhold i verden, som for eksempel Camp David-aftalen i 1978; med hensyn til at normalisere americanaftale med Kina i slutningen af 1970'erne; den iranske revolution i 1979, som resulterede i Den iranske gidselikrise og en sovjetisk invasion i Afghanistan i 1979."," Som NSA, hjalp han Carter med diplomatisk at styre verdenssager, såsom Camp David-aftalerne i 1978; at normalisere relationerne mellem USA og Kina i slutningen af 70erne; den iranske revolution, som led til den iranske gidselsituation i 1979; og den sovjetiske invasion i Afghanistan i 1979.",2,3,1.0,True
"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.",42,47," Som NSA, hjalp han Carter med diplomatisk at styre verdenssager, såsom Camp David-aftalerne i 1978; at normalisere relationerne mellem USA og Kina i slutningen af 70erne; den iranske revolution, som led til den iranske gidselsituation i 1979; og den sovjetiske invasion i Afghanistan i 1979."," Som NSA, bidrog han til Carters diplomatiske håndtering af internationale problemer såsom Camp David-aftalerne fra 1978; normaliseringen af US-China-forbindelser i slutningen af 1970'erne; den iranske revolution, der førte til den iranske gidselkrise fra 1979; og Sovjetunionens invasion af Afghanistan i 1979.",3,4,0.5,False
"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.",45,43," Som NSA, han bistod Carter med håndtering diplomatiske anliggender i verden, såsom Camp David-aftalerne, 1978; at normalisere USA-Kina relationer i slutningen af 1970'erne; den iranske revolution, der førte til Irans gidseldrama, 1979; og den sovjetiske invasion i Afghanistan, 1979."," Som NSA, hjalp han Carter i diplomatisk håndteringen af verdens anliggender, såsom forhandlinger i Camp David, 1978; normaliseringen af de amerikanske og kinesiske relationer omkring slutningen af 1970erne; den iranske revolution, som førte til Iransk gidseldrama i 1979; og den sovjetiske invasion i Afghanistan, 1979.",2,4,0.5,False
"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.",46,43," Som NSA, hjalp han Carter med at manipulere diplomatiske forhold i verden, som for eksempel Camp David-aftalen i 1978; med hensyn til at normalisere americanaftale med Kina i slutningen af 1970'erne; den iranske revolution i 1979, som resulterede i Den iranske gidselikrise og en sovjetisk invasion i Afghanistan i 1979."," Som NSA, hjalp han Carter i diplomatisk håndteringen af verdens anliggender, såsom forhandlinger i Camp David, 1978; normaliseringen af de amerikanske og kinesiske relationer omkring slutningen af 1970erne; den iranske revolution, som førte til Iransk gidseldrama i 1979; og den sovjetiske invasion i Afghanistan, 1979.",2,4,1.0,True
