source_sentence_en	target_sentence	source_lang	target_lang	translations	source_sentence_mt-translated_fr	source_sentence_mt-translated_mt-translated
Since its inception, The Onion has become a veritable news parody empire, with a print edition, a website that drew 5,000,000 unique visitors in the month of October, personal ads, a 24 hour news network, podcasts, and a recently launched world atlas called Our Dumb World.	Siden dets begyndelse er The Onion blevet et sandt imperium for nyhedsparodier og tilbyder både en trykt version, en hjemmeside som talte 5.000.000 unikke besøgende i oktober måned, persontilpassede reklamer, et 24-timers nyhedsnetværk, podcasts samt et nyligt udgivet verdensatlas ved navn Our Dumb World.	eng_Latn	dan_Latn	 Siden starten er The Onion blevet et veritabelt nyhedsparodi-imperium med en trykt udgave, en hjemmeside, der tiltrak 5.000.000 unikke besøgende i oktober måned, personlige annoncer, et 24-timers nyhedsnetværk, podcasts og et nyligt lanceret verdenskort kaldet Our Dumb World.	Depuis sa création, l'oignon est devenu un véritable empire de la parodie, avec une édition imprimée, un site qui a attiré 5.000 000 visiteurs uniques au mois d'octobre, des annonces personnelles, un réseau d'information 24 heures sur 24, des podcasts et un atlas mondial récemment lancé appelé Our Dumb World.	Siden sin oprettelse er The Onion blevet et sandt parodiimperium med en trykt udgave, en hjemmeside, der tiltrak 5.000.000 unikke besøgende i oktober, personlige annoncer, et 24-timers nyhedsnetværk, podcasts og et nyligt lanceret verdensatlas kaldet Our Dumb World.
"A few weeks ago, after the information published by the journalist Makis Triantafylopoulos in his popular Television show ""Zoungla"" in Alpha TV, the member of Parliament and lawyer, Petros Mantouvalos was abdicated as members of his office had been involved in illegal graft and corruption."	"For et par uger siden, efter informationerne blev udgivet af journalisten Makis Triantafylopoulos i hans populære TV-show ""Zoungla"" på Alpha TV, måtte parlamentsmedlem og advokat Petros Mantouvalos abdicere, da medlemmer af hans embede havde været involveret i ulovlig bestikkelse og korruption."	eng_Latn	dan_Latn	" For et par uger siden, efter at journalisten Makis Triantafylopoulos havde offentliggjort information i sit populære tv-program ""Zoungla"" på Alpha TV, blev medlem af parlamentet og advokat, Petros Mantouvalos, afsat, da medlemmer af hans kontor havde været involveret i ulovlig korruption og bestikkelse."	Il y a quelques semaines, après les informations publiées par le journaliste Makis Triantafylopoulos dans son émission télévisée populaire « Zoungla » dans Alpha TV, le député et avocat, Petros Mantouvalos a été abdiqué car des membres de son bureau avaient été impliqués dans des greffes illégales et la corruption.	"For et par uger siden, efter de oplysninger, som journalisten Makis Triantafylopoulos offentliggjorde i sit populære tv-program ""Zoungla"" på Alpha TV, blev parlamentsmedlemmet og advokaten Petros Mantouvalos afsat, fordi medlemmer af hans kontor havde været involveret i ulovlige transplantationer og korruption."
Although some scholars speculate that since the civilisation also existed in the basins of the now dried up Sarasvati River, it should be aptly called the Indus-Sarasvati Civilization, while some call it the Harappan Civilization after Harappa, the first of its sites to be excavated in the 1920s.	Mens nogle forskere foreslår, at civilisationen, da den også eksisterede i den nu udtørrede Sarasvati-flods områder, burde kaldes Indus-Sarasvati-civilisationen, kalder andre den for Harappa-civilisationen efter Harappa, det første af dens udgravningssteder, der blev udgravet i 1920'erne.	eng_Latn	dan_Latn	 Selvom nogle forskere spekulerer i, at eftersom civilisationen også eksisterede i bassinerne ved den nu udtørrede Sarasvati-flod, burde den passende kaldes Indus-Sarasvati Civilisationen, mens nogle kalder den Harappanske Civilisation efter Harappa, det første af dens steder, der blev udgravet i 1920'erne.	Bien que certains savants spéculent que puisque la civilisation existait aussi dans les bassins de la rivière Sarasvati maintenant séchée, il devrait être correctement appelé la civilisation Indus-Sarasvati, tandis que certains l'appellent la civilisation Harappan après Harappa, le premier de ses sites à être excavé dans les années 1920.	Selvom nogle forskere spekulerer i, at da civilisationen også eksisterede i bassinerne af den nu udtørrede Sarasvati-flod, bør den korrekt kaldes Indus-Sarasvati-civilisationen, mens nogle kalder den Harappan-civilisationen efter Harappa, det første af dens steder, der blev udgravet i 1920'erne.
Police said Lo Piccolo had the upper hand because he had been Provenzano's right-hand man in Palermo and his greater experience won him the respect of the older generation of bosses as they pursued Provenzano's policy of keeping as low as possible while strengthening their power network.	Politiet udtalte, at Lo Piccolo stod stærkest, da han i Palermo havde været Provenzanos højre hånd, og hans større erfaring sikrede ham respekt fra den ældre generation af ledere, da de fulgte Provenzanos politik om at holde så lav profil som muligt og styrke deres netværk på samme tid.	eng_Latn	dan_Latn	 Politiet sagde, at Lo Piccolo havde overtaget, fordi han havde været Provenzano's højre hånd i Palermo, og hans større erfaring vandt ham respekten fra den ældre generation af bosser, da de forfulgte Provenzano's politik om at holde sig så lav som muligt, mens de styrkede deres magtnetværk.	La police a dit que Lo Piccolo avait le dessus parce qu'il avait été l'homme de droite de Provenzano à Palerme et sa plus grande expérience lui a valu le respect de la génération plus âgée de patrons alors qu'ils poursuivissaient la politique de Provenzano de rester aussi bas que possible tout en renforçant leur réseau d'électricité.	Politiet sagde, at Lo Piccolo havde overtaget, fordi han havde været Provenzanos højre hånd i Palermo, og hans større erfaring gav ham respekt fra den ældre generation af bosser, mens de fortsatte Provenzanos politik om at holde sig så lavt som muligt, mens de styrkede deres magtnetværk.
On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.	Mandag offentliggjorde forskere fra Stanford Universitys School of Medicine opfindelsen af et nyt diagnoseværktøj, som kan sortere celler efter type: en ganske lille printbar chip, som kan fremstilles med almindelige inkjetprintere, muligvis for omkring én US-cent stykket.	eng_Latn	dan_Latn	 Mandag annoncerede forskere fra Stanford University School of Medicine opfindelsen af et nyt diagnostisk værktøj, der kan sortere celler efter type: en lille printable chip, der kan fremstilles ved hjælp af standard inkjetprintere for muligvis omkring en amerikansk cent hver.	Lundi, des scientifiques de la Stanford University School of Medicine ont annoncé l'invention d'un nouvel outil de diagnostic qui peut trier les cellules par type : une petite puce imprimable qui peut être fabriquée à l'aide d'imprimantes à jet d'encre standard pour environ un cent américain chacune.	Mandag annoncerede forskere fra Stanford University School of Medicine opfindelsen af et nyt diagnostisk værktøj, der kan sortere celler efter type: en lille printbar chip, der kan fremstilles ved hjælp af standard inkjet-printere for omkring en amerikansk cent stykket.
Other scientists argue that these plants are very poisonous so it is unlikely that any dinosaur ate them, even though today the sloth and other animals like the parrot (a descendant of the dinosaurs) can eat poisonous leaves or fruit.	Andre videnskabsmænd hævder at disse planter er meget giftige, så det er usandsynligt at nogle dinosaurer spiste dem, selvom både dovendyret samt andre dyr såsom papegøjen (en efterkommer af dinosaurer) i dag er i stand til at spise giftige blade og/eller frugter.	eng_Latn	dan_Latn	 Andre forskere hævder, at disse planter er meget giftige, så det er usandsynligt, at nogen dinosaur spiste dem, selvom dovendyret og andre dyr som papegøjen (en efterkommer af dinosaurerne) i dag kan spise giftige blade eller frugter.	D'autres scientifiques affirment que ces plantes sont très toxiques, il est donc peu probable qu'un dinosaure les mange, même si aujourd'hui la paresse et d'autres animaux comme le perroquet (un descendant des dinosaures) peuvent manger des feuilles ou des fruits toxiques.	Andre forskere hævder, at disse planter er meget giftige, så det er usandsynligt, at en dinosaur ville spise dem, selvom dovendyr og andre dyr som papegøjen (en efterkommer af dinosaurerne) i dag kan spise giftige blade eller frugter.
The Health Minister expressed concern both for the welfare of individuals taking advantage of the temporary legality of the substances involved, and for drug-related convictions handed down since the now-unconstitutional changes came into effect.	Sundhedsministeren udtrykte bekymring både for helbreddet hos de enkelte personer som udnytter at de pågældende stoffer midlertidigt er lovlige, samt for de narkotika-relaterede domme der er blevet givet siden de nu forfatningsstridige ændringer trådte i kraft.	eng_Latn	dan_Latn	 Sundhedsministeren udtrykte bekymring både for velfærden for de personer, der drager fordel af den midlertidige lovlighed af de involverede stoffer, og for narkotikarelaterede domme, der er afsagt siden de nu-forfatningsstridige ændringer trådte i kraft.	Le Ministre de la santé s'est déclaré préoccupé à la fois par le bien-être des personnes qui profitent de la légalité temporaire des substances en cause et par les condamnations pour toxicomanie prononcées depuis l'entrée en vigueur des modifications maintenant inconstitutionnelles.	Sundhedsministeren har udtrykt bekymring både for velfærden for de personer, der drager fordel af den midlertidige lovlighed af de pågældende stoffer, og for de domme for stofmisbrug, der er blevet afsagt siden ikrafttrædelsen af de nu forfatningsstridige ændringer.
The International Olympic Committee voted to include the sports at its executive board meeting in Berlin today. Rugby, specifically rugby union, and golf were selected over five other sports to be considered to participate in the Olympics.	Den Internationale Olympiske Komité stemte for at medtage sportsgrenene ved dets bestyrelsesmøde i Berlin i dag. Rugby eller mere specifikt rugbyunionen samt golf blev valgt frem for fem andre sportsgrene, der kræver yderligere overvejelser før deltagelse i OL.	eng_Latn	dan_Latn	 Den Internationale Olympiske Komite stemte for at inkludere sportsgrenene på sit bestyrelsesmøde i Berlin i dag. Rugby, specifikt rugby union, og golf blev valgt frem for fem andre sportsgrene, som skulle overvejes til at deltage i OL.	Le Comité international olympique a voté aujourd'hui pour inclure le sport à sa réunion du conseil d'administration à Berlin. Le rugby, en particulier l'union du rugby, et le golf ont été sélectionnés plus de cinq autres sports à considérer pour participer aux Jeux olympiques.	Den Internationale Olympiske Komité stemte i dag for at inkludere sporten på sit bestyrelsesmøde i Berlin. Rugby, især rugby union, og golf blev udvalgt frem for fem andre sportsgrene til overvejelse for deltagelse i de Olympiske Lege.
Airlines such as Emirates, Etihad Airways, Qatar Airways & Turkish Airlines have greatly expanded their services to Africa, and offer connections to many major African cities at competitive rates than other European airlines.	Flyselskaber såsom Emirates, Etihad Airways, Qatar Airways & Turkish Airlines har i stort omfang udvidet deres ydelser til Afrika, og de tilbyder forbindelser til mange større afrikanske byer til mere konkurrencedygtige priser end andre europæiske flyselskaber.	eng_Latn	dan_Latn	 Flyselskaber som Emirates, Etihad Airways, Qatar Airways og Turkish Airlines har udvidet deres tjenester til Afrika betydeligt, og tilbyder forbindelser til mange større afrikanske byer til konkurrencedygtige priser i forhold til andre europæiske flyselskaber.	Les compagnies aériennes comme Emirates, Etihad Airways, Qatar Airways et Turkish Airlines ont considérablement élargi leurs services en Afrique et offrent des connexions à de nombreuses grandes villes africaines à des tarifs compétitifs par rapport à d'autres compagnies aériennes européennes.	Flyselskaber som Emirates, Etihad Airways, Qatar Airways og Turkish Airlines har udvidet deres tjenester betydeligt i Afrika og tilbyder forbindelser til mange store afrikanske byer til konkurrencedygtige priser sammenlignet med andre europæiske flyselskaber.
The different constructions have different capabilities, are sensitive to different wave-lengths and have differing degrees of acuity, also they require different processing to make sense of the input and different numbers to work optimally.	De forskellige opbygninger har forskellige kapaciteter, er følsomme over for forskellige bølgelængder og har forskellige grader af skarphed, de kræver også forskellige behandlinger for at input og forskellige tal giver mening, og det hele fungerer optimalt.	eng_Latn	dan_Latn	 De forskellige konstruktioner har forskellige evner, er følsomme overfor forskellige bølgelængder og har forskellige grader af skarphed, og de kræver også forskellig behandling for at give mening til input og forskellige tal for at fungere optimalt.	Les différentes constructions ont des capacités différentes, sont sensibles aux différentes longueurs d'onde et ont des degrés d'acuité différents, aussi elles nécessitent un traitement différent pour avoir un sens de l'entrée et différents nombres pour fonctionner de manière optimale.	De forskellige konstruktioner har forskellige kapaciteter, er følsomme over for forskellige bølgelængder og har forskellige grader af skarphed, så de kræver en forskellig behandling for at give mening af inputtet og forskellige antal for at fungere optimalt.
